Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,0.290000,0.600000,0.290000,0.510000,0.510000,22121300
2014-09-01,0.530000,0.530000,0.355000,0.420000,0.420000,16924400
2014-10-01,0.430000,0.450000,0.295000,0.340000,0.340000,10124900
2014-11-01,0.350000,0.490000,0.330000,0.385000,0.385000,9551900
2014-12-01,0.390000,0.415000,0.340000,0.380000,0.380000,2963300
2015-01-01,0.380000,0.410000,0.310000,0.340000,0.340000,9415600
2015-02-01,0.340000,0.455000,0.325000,0.445000,0.445000,8623600
2015-03-01,0.445000,0.530000,0.400000,0.520000,0.520000,8986900
2015-04-01,0.520000,0.670000,0.480000,0.510000,0.510000,20281900
2015-05-01,0.530000,0.580000,0.495000,0.530000,0.530000,6074900
2015-06-01,0.530000,0.890000,0.510000,0.780000,0.780000,28560300
2015-07-01,0.790000,0.870000,0.640000,0.680000,0.680000,18695000
2015-08-01,0.670000,0.850000,0.590000,0.710000,0.710000,19784400
2015-09-01,0.680000,0.760000,0.560000,0.620000,0.620000,14263400
2015-10-01,0.620000,0.850000,0.600000,0.730000,0.730000,22680300
2015-11-01,0.730000,0.740000,0.620000,0.640000,0.640000,8677400
2015-12-01,0.640000,0.730000,0.560000,0.720000,0.720000,18191700
2016-01-01,0.700000,0.820000,0.690000,0.790000,0.790000,28790100
2016-02-01,0.790000,1.030000,0.770000,0.980000,0.980000,22702000
2016-03-01,0.970000,1.790000,0.930000,1.750000,1.750000,44499800
2016-04-01,1.750000,2.780000,1.750000,2.250000,2.250000,57647100
2016-05-01,2.220000,2.550000,2.060000,2.380000,2.380000,22099400
2016-06-01,2.380000,2.860000,2.300000,2.660000,2.660000,21884600
2016-07-01,2.680000,2.690000,2.160000,2.320000,2.320000,9757100
2016-08-01,2.300000,2.620000,2.240000,2.320000,2.320000,10358900
2016-09-01,2.280000,2.340000,1.820000,2.000000,2.000000,16120900
2016-10-01,2.000000,2.000000,1.520000,1.610000,1.610000,13712400
2016-11-01,1.630000,2.000000,1.420000,1.930000,1.930000,33887900
2016-12-01,1.910000,2.390000,1.840000,2.330000,2.330000,25042100
2017-01-01,2.330000,3.750000,2.310000,3.570000,3.570000,47850700
2017-02-01,3.430000,4.450000,3.280000,3.830000,3.830000,38833400
2017-03-01,3.760000,3.950000,2.950000,3.150000,3.150000,44447900
2017-04-01,3.140000,3.530000,2.880000,2.950000,2.950000,15337100
2017-05-01,2.950000,3.380000,2.850000,3.060000,3.060000,24468900
2017-06-01,3.080000,3.140000,2.430000,2.870000,2.870000,15237600
2017-07-01,2.950000,3.280000,2.780000,3.150000,3.150000,12731700
2017-08-01,3.160000,3.330000,2.670000,2.920000,2.920000,10999100
2017-09-01,2.910000,3.090000,2.690000,2.770000,2.770000,12428300
2017-10-01,2.770000,2.880000,2.400000,2.420000,2.420000,10160800
2017-11-01,2.420000,3.410000,2.400000,3.130000,3.130000,38066600
2017-12-01,3.110000,3.580000,2.960000,3.210000,3.210000,21368100
2018-01-01,3.230000,3.530000,2.780000,2.820000,2.820000,23332300
2018-02-01,2.800000,2.890000,2.580000,2.690000,2.690000,8757900
2018-03-01,2.690000,2.800000,2.150000,2.220000,2.220000,14895600
2018-04-01,2.190000,2.750000,2.115000,2.560000,2.560000,15198700
2018-05-01,2.560000,2.795000,2.350000,2.450000,2.450000,13827100
2018-06-01,2.420000,3.040000,2.360000,2.430000,2.430000,16880900
2018-07-01,2.550000,2.700000,2.320000,2.650000,2.650000,9142800
2018-08-01,2.610000,2.760000,2.380000,2.540000,2.540000,8098400
2018-09-01,2.540000,2.850000,2.290000,2.620000,2.620000,11815500
2018-10-01,2.650000,2.950000,2.380000,2.700000,2.700000,17567300
2018-11-01,2.700000,3.310000,2.640000,2.840000,2.840000,39186300
2018-12-01,2.880000,3.000000,2.130000,2.410000,2.410000,33105800
2019-01-01,2.350000,2.640000,2.230000,2.280000,2.280000,40048200
2019-02-01,2.290000,2.590000,2.100000,2.160000,2.160000,38907700
2019-03-01,2.180000,2.330000,2.050000,2.160000,2.160000,12571000
2019-04-01,2.180000,2.450000,2.070000,2.120000,2.120000,9158200
2019-05-01,2.130000,2.190000,1.810000,2.040000,2.040000,11922000
2019-06-01,2.050000,2.130000,1.900000,2.040000,2.040000,6585300
2019-07-01,2.020000,2.310000,1.690000,1.890000,1.890000,11256100
2019-08-01,1.890000,1.890000,1.455000,1.740000,1.740000,8782100
2019-09-01,1.740000,1.890000,1.560000,1.720000,1.720000,16817900
2019-10-01,1.720000,1.870000,1.620000,1.700000,1.700000,4752400
2019-11-01,1.730000,1.820000,1.580000,1.740000,1.740000,3921800
2019-12-01,1.720000,1.730000,1.525000,1.670000,1.670000,7965800
2020-01-01,1.660000,1.670000,1.360000,1.370000,1.370000,8462200
2020-02-01,1.380000,1.560000,1.150000,1.190000,1.190000,8915100
2020-03-01,1.200000,1.350000,0.760000,1.080000,1.080000,12520700
2020-04-01,1.120000,2.030000,1.105000,1.840000,1.840000,29216800
2020-05-01,1.800000,2.180000,1.710000,1.950000,1.950000,20284100
2020-06-01,1.930000,2.090000,1.660000,1.770000,1.770000,12864200
2020-07-01,1.780000,2.520000,1.750000,2.380000,2.380000,17368300
2020-08-01,2.500000,2.620000,2.120000,2.580000,2.580000,14321300
2020-09-01,2.580000,2.640000,2.130000,2.310000,2.310000,11671700
2020-10-01,2.340000,2.395000,2.120000,2.230000,2.230000,7855100
2020-11-01,2.260000,2.520000,2.180000,2.330000,2.330000,11130400
2020-12-01,2.340000,3.710000,2.320000,3.510000,3.510000,34355600
2021-01-01,3.610000,3.920000,3.250000,3.610000,3.610000,30604500
2021-02-01,3.580000,5.410000,3.570000,4.480000,4.480000,60623700
2021-03-01,4.520000,5.240000,3.900000,4.530000,4.530000,75079400
2021-04-01,4.610000,5.490000,4.310000,4.640000,4.640000,29397900
2021-05-01,4.750000,5.880000,4.730000,5.820000,5.820000,38184700
2021-06-01,5.780000,6.080000,4.960000,5.100000,5.100000,41942800
2021-07-01,5.300000,5.470000,4.440000,5.270000,5.270000,31072100
2021-08-01,5.270000,5.950000,4.510000,5.930000,5.930000,24391400
2021-09-01,5.980000,7.810000,5.655000,6.020000,6.020000,80216800
2021-10-01,6.120000,8.020000,5.800000,6.840000,6.840000,54470200
2021-11-01,6.920000,8.090000,5.630000,5.980000,5.980000,55676900
2021-12-01,6.130000,6.160000,5.075000,5.540000,5.540000,32371700
2022-01-01,6.070000,6.750000,4.680000,5.230000,5.230000,44181800
2022-02-01,5.270000,6.835000,5.000000,6.730000,6.730000,39444700
2022-03-01,6.900000,7.570000,6.185000,7.080000,7.080000,49579300
2022-04-01,7.110000,8.300000,6.080000,6.330000,6.330000,38066800
2022-05-01,6.210000,6.690000,4.900000,6.000000,6.000000,40785700
2022-06-01,6.040000,6.670000,4.450000,4.620000,4.620000,32344400
2022-07-01,4.690000,5.655000,4.430000,5.580000,5.580000,21106800
2022-08-01,5.460000,6.040000,4.545000,5.840000,5.840000,27403400
2022-09-01,5.740000,6.330000,4.700000,5.020000,5.020000,27114300
2022-10-01,5.200000,5.900000,4.700000,5.720000,5.720000,28066800
2022-11-01,5.830000,6.410000,5.400000,6.380000,6.380000,28891900
2022-12-01,6.400000,6.430000,5.390000,5.990000,5.990000,30109000
2023-01-01,6.000000,6.820000,5.490000,6.420000,6.420000,29906000
2023-02-01,6.400000,6.735000,5.505000,5.750000,5.750000,26414600
2023-03-01,5.740000,6.060000,4.830000,5.190000,5.190000,25301800
2023-04-01,5.240000,5.300000,4.750000,5.270000,5.270000,18493400
2023-05-01,5.300000,5.670000,4.910000,5.240000,5.240000,18851100
2023-06-01,5.280000,6.430000,5.280000,6.250000,6.250000,19229200
2023-07-01,6.250000,6.500000,5.840000,6.470000,6.470000,20009400
2023-08-01,6.490000,7.260000,6.060000,7.110000,7.110000,36994500
2023-09-01,7.210000,8.680000,7.125000,8.130000,8.130000,62494900
2023-10-01,8.060000,8.490000,7.360000,8.370000,8.370000,35053000
2023-11-01,8.400000,9.290000,7.800000,8.850000,8.850000,33252900
2023-12-01,8.850000,9.530000,8.710000,9.270000,9.270000,34996500
2024-01-01,9.380000,10.870000,8.725000,10.300000,10.300000,58514300
2024-02-01,10.750000,11.170000,9.100000,9.570000,9.570000,37705900
2024-03-01,9.590000,10.970000,9.430000,10.530000,10.530000,50450000
2024-04-01,10.800000,12.000000,10.580000,11.050000,11.050000,20296100
