STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-04,,6.557377,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-05,,6.557377,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-06,,8.196721,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-07,,8.196721,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-08,,8.196721,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-09,,11.47541,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-10,,13.11475,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-11,,12.69841,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1916-12,,14.28571,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-01,,15.625,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-02,,13.84615,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-03,,16.92308,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-04,,16.92308,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-05,,21.53846,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-06,,21.21212,,A,Normal value,,,,,,,2,Two
